date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:31:05	50549/50549	---M--	200	added ('OK')	image/png	etag:%22b7b08507c8b641ba12e8474819bd8174%22	https://images.zaap.ai/public/a0bef94821df4c0efefb44af46a29700a355da76f21dacaaa0d3.png	D:/wigwam%202/images.zaap.ai/public/a0bef94821df4c0efefb44af46a29700a355da76f21dacaaa0d3.png	(from https://zaap.bio/wigwamman)
19:31:05	71750/71750	---M-Z	200	added ('OK')	text/css	etag:%2211846-5ee749e6b8a88-gzip%22	https://zaap.bio/assets/page/css/animate.min.css	D:/wigwam%202/zaap.bio/assets/page/css/animate.min.css	(from https://zaap.bio/wigwamman)
19:31:05	12676/12676	---M-Z	200	added ('OK')	text/css	etag:%223184-5ee749e6b9a28-gzip%22	https://zaap.bio/assets/page/css/growl-notification.min.css	D:/wigwam%202/zaap.bio/assets/page/css/growl-notification.min.css	(from https://zaap.bio/wigwamman)
19:31:05	3549/3549	---M--	200	added ('OK')	image/svg+xml	etag:%22ddd-60e33cef99a06%22	https://zaap.bio/assets/zaap-logo-red-white.svg	D:/wigwam%202/zaap.bio/assets/zaap-logo-red-white.svg	(from https://zaap.bio/wigwamman)
19:31:06	89476/89476	---M-Z	200	added ('OK')	application/javascript	etag:%2215d84-5eee18b8f6380-gzip%22	https://zaap.bio/assets/page/js/libraries/jquery.min.js?v=3.1	D:/wigwam%202/zaap.bio/assets/page/js/libraries/jquery.minc9e4.js	(from https://zaap.bio/wigwamman)
19:31:06	206541/206541	---M--	200	added ('OK')	image/jpeg	etag:%224225f3959b126ec158c8e118e1338ed2%22	https://images.zaap.ai/public/1a8ac1d7547c5aa57ee84e4341c79e7f9e3918068b1614c3c0ae.png	D:/wigwam%202/images.zaap.ai/public/1a8ac1d7547c5aa57ee84e4341c79e7f9e3918068b1614c3c0ae.jpg	(from https://zaap.bio/wigwamman)
19:31:06	18994/18994	---M-Z	200	added ('OK')	application/javascript	etag:%224a32-5eee18b8f6380-gzip%22	https://zaap.bio/assets/page/js/libraries/popper.min.js?v=3.1	D:/wigwam%202/zaap.bio/assets/page/js/libraries/popper.minc9e4.js	(from https://zaap.bio/wigwamman)
19:31:06	60003/60003	---M-Z	200	added ('OK')	application/javascript	etag:%22ea63-5eee18b8f34a0-gzip%22	https://zaap.bio/assets/page/js/libraries/bootstrap.min.js?v=3.1	D:/wigwam%202/zaap.bio/assets/page/js/libraries/bootstrap.minc9e4.js	(from https://zaap.bio/wigwamman)
19:31:06	1832/1832	---M-Z	200	added ('OK')	application/javascript	etag:%22728-5eee18b8f9260-gzip%22	https://zaap.bio/assets/page/js/main.js?v=3.1	D:/wigwam%202/zaap.bio/assets/page/js/mainc9e4.js	(from https://zaap.bio/wigwamman)
19:31:07	3467/3467	---M-Z	200	added ('OK')	application/javascript	etag:%22d8b-5eee18b8f34a0-gzip%22	https://zaap.bio/assets/page/js/functions.js?v=3.1	D:/wigwam%202/zaap.bio/assets/page/js/functionsc9e4.js	(from https://zaap.bio/wigwamman)
19:31:07	306/306	---MC-	302	error ('Found')	text/html	date:Mon,%2017%20Jun%202024%2002:31:09%20GMT	https://zaap.bio/	D:/wigwam%202/zaap.bio/index.html	(from https://zaap.bio/wigwamman)
19:31:07	18155/18155	---M-Z	200	added ('OK')	application/javascript	etag:%2246eb-5eee18b8f34a0-gzip%22	https://zaap.bio/assets/page/growl-notification/growl-notification.min.js	D:/wigwam%202/zaap.bio/assets/page/growl-notification/growl-notification.min.js	(from https://zaap.bio/wigwamman)
19:31:07	136/136	---M--	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2017%20Jun%202024%2002:31:10%20GMT	https://www.tiktok.com/embed.js	D:/wigwam%202/www.tiktok.com/embed.14.delayed	(from https://zaap.bio/wigwamman)
19:31:08	40452/40452	---M-Z	200	added ('OK')	application/javascript	etag:W/%2236028d980f179f0d7cd5be7d6d3a8bcf%22	https://lf16-tiktok-web.tiktokcdn-us.com/obj/tiktok-web-tx/tiktok/falcon/embed/embed_v1.0.12.js	D:/wigwam%202/lf16-tiktok-web.tiktokcdn-us.com/obj/tiktok-web-tx/tiktok/falcon/embed/embed_v1.0.12.js	(from https://zaap.bio/wigwamman)
19:31:08	93065/93065	---M-Z	200	added ('OK')	application/javascript	etag:%22824beb891744db98ccbd3a456e59e0f7+gzip%22	https://platform.twitter.com/widgets.js	D:/wigwam%202/platform.twitter.com/widgets.js	(from https://zaap.bio/wigwamman)
19:31:08	350/350	---MC-	302	error ('Found')	text/html	date:Mon,%2017%20Jun%202024%2002:31:11%20GMT	https://zaap.bio/wigwamman/contact-form-submit	D:/wigwam%202/zaap.bio/wigwamman/contact-form-submit	(from https://zaap.bio/wigwamman)
19:31:09	0/0	---M--	200	added ('OK')	text/html	date:Mon,%2017%20Jun%202024%2002:31:11%20GMT	https://zaap.bio/wigwamman/get-posts	D:/wigwam%202/zaap.bio/wigwamman/get-posts	(from https://zaap.bio/wigwamman)
19:31:09	121296/121296	---M--	200	added ('OK')	font/woff2	etag:W/%221d9d0-F9rQd2iZrRvq2r0GHDTioiss3nQ%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.10.3/font/fonts/bootstrap-icons.woff2?24e3eb84d0bcaf83d77f904c78ac1f47	D:/wigwam%202/cdn.jsdelivr.net/npm/bootstrap-icons@1.10.3/font/fonts/bootstrap-iconsbf04.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.10.3/font/bootstrap-icons.css)
19:31:10	164352/164352	---M--	200	added ('OK')	font/woff	etag:W/%2228200-dZGccXzlxbxxa8UXBcDNC2D0v/w%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.10.3/font/fonts/bootstrap-icons.woff?24e3eb84d0bcaf83d77f904c78ac1f47	D:/wigwam%202/cdn.jsdelivr.net/npm/bootstrap-icons@1.10.3/font/fonts/bootstrap-iconsbf04.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.10.3/font/bootstrap-icons.css)
19:31:10	41136/41136	---M--	200	added ('OK')	font/woff2	etag:%22a0b0-60c621ece3dc7%22	https://zaap.bio/assets/page/fonts/GTWalsheimPro-Regular.woff2	D:/wigwam%202/zaap.bio/assets/page/fonts/GTWalsheimPro-Regular.woff2	(from https://zaap.bio/assets/page/css/app.css)
19:31:11	61100/61100	---M--	200	added ('OK')	font/woff	etag:%22eeac-60c621ece3dc7%22	https://zaap.bio/assets/page/fonts/GTWalsheimPro-Regular.woff	D:/wigwam%202/zaap.bio/assets/page/fonts/GTWalsheimPro-Regular.woff	(from https://zaap.bio/assets/page/css/app.css)
19:31:11	134768/134768	---M--	200	added ('OK')	font/ttf	etag:%2220e70-60c621ece3dc7%22	https://zaap.bio/assets/page/fonts/GTWalsheimPro-Regular.ttf	D:/wigwam%202/zaap.bio/assets/page/fonts/GTWalsheimPro-Regular.ttf	(from https://zaap.bio/assets/page/css/app.css)
19:31:12	39640/39640	---M--	200	added ('OK')	font/woff2	etag:%229ad8-60c621ece2e27%22	https://zaap.bio/assets/page/fonts/GTWalsheimPro-Medium.woff2	D:/wigwam%202/zaap.bio/assets/page/fonts/GTWalsheimPro-Medium.woff2	(from https://zaap.bio/assets/page/css/app.css)
19:31:12	59844/59844	---M--	200	added ('OK')	font/woff	etag:%22e9c4-60c621ece2e27%22	https://zaap.bio/assets/page/fonts/GTWalsheimPro-Medium.woff	D:/wigwam%202/zaap.bio/assets/page/fonts/GTWalsheimPro-Medium.woff	(from https://zaap.bio/assets/page/css/app.css)
19:31:12	133404/133404	---M--	200	added ('OK')	font/ttf	etag:%222091c-60c621ece2e27%22	https://zaap.bio/assets/page/fonts/GTWalsheimPro-Medium.ttf	D:/wigwam%202/zaap.bio/assets/page/fonts/GTWalsheimPro-Medium.ttf	(from https://zaap.bio/assets/page/css/app.css)
19:31:13	41524/41524	---M--	200	added ('OK')	font/woff2	etag:%22a234-60c621ece2e27%22	https://zaap.bio/assets/page/fonts/GTWalsheimPro-Bold.woff2	D:/wigwam%202/zaap.bio/assets/page/fonts/GTWalsheimPro-Bold.woff2	(from https://zaap.bio/assets/page/css/app.css)
19:31:13	61628/61628	---M--	200	added ('OK')	font/woff	etag:%22f0bc-60c621ece2e27%22	https://zaap.bio/assets/page/fonts/GTWalsheimPro-Bold.woff	D:/wigwam%202/zaap.bio/assets/page/fonts/GTWalsheimPro-Bold.woff	(from https://zaap.bio/assets/page/css/app.css)
19:31:14	135280/135280	---M--	200	added ('OK')	font/ttf	etag:%2221070-60c621ece2e27%22	https://zaap.bio/assets/page/fonts/GTWalsheimPro-Bold.ttf	D:/wigwam%202/zaap.bio/assets/page/fonts/GTWalsheimPro-Bold.ttf	(from https://zaap.bio/assets/page/css/app.css)
19:31:14	41536/41536	---M--	200	added ('OK')	font/woff2	etag:%22a240-60c621ece1e87%22	https://zaap.bio/assets/page/fonts/GTWalsheimPro-Black.woff2	D:/wigwam%202/zaap.bio/assets/page/fonts/GTWalsheimPro-Black.woff2	(from https://zaap.bio/assets/page/css/app.css)
19:31:15	61660/61660	---M--	200	added ('OK')	font/woff	etag:%22f0dc-60c621ece1e87%22	https://zaap.bio/assets/page/fonts/GTWalsheimPro-Black.woff	D:/wigwam%202/zaap.bio/assets/page/fonts/GTWalsheimPro-Black.woff	(from https://zaap.bio/assets/page/css/app.css)
19:31:16	134944/134944	---M--	200	added ('OK')	font/ttf	etag:%2220f20-60c621ece1e87%22	https://zaap.bio/assets/page/fonts/GTWalsheimPro-Black.ttf	D:/wigwam%202/zaap.bio/assets/page/fonts/GTWalsheimPro-Black.ttf	(from https://zaap.bio/assets/page/css/app.css)
19:31:16	6603/6603	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Jun%202024%2002:31:18%20GMT	https://zaap.bio/assets/page/images/hero_image.svg	D:/wigwam%202/zaap.bio/assets/page/images/hero_image.27.delayed	(from https://zaap.bio/assets/page/css/custom.css)
19:31:16	6603/6603	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Jun%202024%2002:31:18%20GMT	https://zaap.bio/assets/page/images/custom-theme.png	D:/wigwam%202/zaap.bio/assets/page/images/custom-theme.png	(from https://zaap.bio/assets/page/css/custom.css)
19:31:17	162/162	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2017%20Jun%202024%2002:31:19%20GMT	https://searchengineland.com/figz/wp-content/seloads/2015/12/google-amp-fast-speed-travel-ss-1920.jpg	D:/wigwam%202/searchengineland.com/figz/wp-content/seloads/2015/12/google-amp-fast-speed-travel-ss-1920.29.delayed	(from https://zaap.bio/assets/page/css/custom.css)
19:31:17	159144/159144	---M--	200	added ('OK')	image/jpeg	etag:%226238d561-26db0%22	https://searchengineland.com/wp-content/seloads/2015/12/google-amp-fast-speed-travel-ss-1920.jpg	D:/wigwam%202/searchengineland.com/wp-content/seloads/2015/12/google-amp-fast-speed-travel-ss-1920.jpg	(from https://zaap.bio/assets/page/css/custom.css)
19:31:17	6603/6603	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Jun%202024%2002:31:20%20GMT	https://zaap.bio/assets/page/images/import-subscribers-header.png	D:/wigwam%202/zaap.bio/assets/page/images/import-subscribers-header.2b.delayed	(from https://zaap.bio/assets/page/css/custom.css)
19:31:18	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.10.3/font/bootstrap-icons.css)
